gvkey,tic,conm,datadate,cogs,invt,sale,rect,at,year,avg_invt,avg_rect,avg_at,inventory_turnover,receivable_turnover,total_asset_turnover
001690,AAPL,APPLE INC,2020-09-30,159859.0,4061.0,274515.0,37445.0,323888.0,2020,4083.5,41624.5,331202.0,67.22541937063794,6.59503417458468,0.8288446325807212
001690,AAPL,APPLE INC,2021-09-30,203481.0,6580.0,365817.0,51506.0,351002.0,2021,5320.5,44475.5,337445.0,68.7561319424866,8.225135186788231,1.084078886929722
001690,AAPL,APPLE INC,2022-09-30,214846.0,4946.0,394328.0,60932.0,352755.0,2022,5763.0,56219.0,351878.5,68.42408467811903,7.014141126665362,1.1206368107173357
001690,AAPL,APPLE INC,2023-09-30,205637.0,6331.0,383285.0,60985.0,352583.0,2023,5638.5,60958.5,352669.0,67.9764121663563,6.287638311310154,1.0868122800699807
001690,AAPL,APPLE INC,2024-09-30,202152.0,7286.0,391035.0,66243.0,364980.0,2024,6808.5,63614.0,358781.5,57.43335536461776,6.146995944288993,1.0898973330564703
064768,AMZN,AMAZON.COM INC,2020-12-31,217068.0,22943.0,386064.0,19981.0,321195.0,2020,21405.5,18822.0,273221.5,18.035738478428442,20.51131654446924,1.4130073950988484
064768,AMZN,AMAZON.COM INC,2021-12-31,249435.0,31758.0,469822.0,26500.0,420549.0,2021,27350.5,23240.5,370872.0,17.177821246412314,20.215658010800112,1.2668036411484285
064768,AMZN,AMAZON.COM INC,2022-12-31,263907.0,33457.0,513983.0,34800.0,462675.0,2022,32607.5,30650.0,441612.0,15.762723299854327,16.769429037520393,1.163879151834642
064768,AMZN,AMAZON.COM INC,2023-12-31,274514.0,32326.0,574785.0,46900.0,527854.0,2023,32891.5,40850.0,495264.5,17.475183558062113,14.07062423500612,1.1605616796681368
064768,AMZN,AMAZON.COM INC,2024-12-31,294221.0,33216.0,637959.0,49300.0,624894.0,2024,32771.0,48100.0,576374.0,19.467181349363766,13.263180873180874,1.1068490251121668
012141,MSFT,MICROSOFT CORP,2020-06-30,33778.0,1895.0,143015.0,32011.0,301311.0,2020,1979.0,30767.5,293933.5,72.26629610914604,4.6482489640042255,0.4865556324814967
012141,MSFT,MICROSOFT CORP,2021-06-30,41332.0,2636.0,168088.0,38043.0,333779.0,2021,2265.5,35027.0,317545.0,74.19465901566983,4.798812344762612,0.5293359996221008
012141,MSFT,MICROSOFT CORP,2022-06-30,48050.0,3742.0,198270.0,50361.0,364840.0,2022,3189.0,44202.0,349309.5,62.173095014111006,4.485543640559251,0.5676055188879776
012141,MSFT,MICROSOFT CORP,2023-06-30,52211.0,2500.0,211915.0,57888.0,411976.0,2023,3121.0,54124.5,388408.0,67.89971163088754,3.915324852885477,0.5455989577969558
012141,MSFT,MICROSOFT CORP,2024-06-30,54114.0,1246.0,245122.0,67424.0,512163.0,2024,1873.0,62656.0,462069.5,130.87132941804592,3.9121871807967312,0.5304872968243954
117768,NVDA,NVIDIA CORP,2020-01-31,3755.0,979.0,10918.0,1657.0,17315.0,2020,1277.0,1540.5,15303.5,8.549725920125294,7.087309315157416,0.713431567941974
117768,NVDA,NVIDIA CORP,2021-01-31,4982.0,1826.0,16675.0,2429.0,28791.0,2021,1402.5,2043.0,23053.0,11.889483065953653,8.162016642192853,0.7233331887389928
117768,NVDA,NVIDIA CORP,2022-01-31,8265.0,2605.0,26914.0,4650.0,44187.0,2022,2215.5,3539.5,36489.0,12.148047844730309,7.603898855770589,0.7375921510592234
117768,NVDA,NVIDIA CORP,2023-01-31,10075.0,5159.0,26974.0,3827.0,41182.0,2023,3882.0,4238.5,42684.5,6.948480164863472,6.364043883449334,0.6319389942484976
117768,NVDA,NVIDIA CORP,2024-01-31,15113.0,5282.0,60922.0,9999.0,65728.0,2024,5220.5,6913.0,53455.0,11.669763432621396,8.812671777809923,1.1396875876905808
